NU_ANO,NT_GER,NT_FG,NT_CE_D1,NT_CE_D2,NT_CE_D3
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
2021,0,0,0,0,0
